"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
5.977,-0.00315446275130246
5.9785,-0.0031560321133992
5.98,-0.00315760184942729
5.9815,-0.00315917195935317
5.983,-0.00316074244314039
5.9845,-0.00316231330075635
5.986,-0.00316388453216171
5.9875,-0.00316545613732771
5.989,-0.00316702811621503
5.9905,-0.00316860046878912
5.992,-0.0031701731950145
5.9935,-0.00317174629485568
5.995,-0.00317331976827814
5.9965,-0.0031748936152483
5.998,-0.00317646783572683
5.9995,-0.00317804242968113
6.001,-0.00317961739707281
6.0025,-0.00318119273786639
6.004,-0.00318276845202637
6.0055,-0.00318434453951726
6.007,-0.00318592100030261
6.0085,-0.00318749783434693
6.01,-0.0031890750416128
6.0115,-0.0031906526220628
6.013,-0.00319223057566336
6.0145,-0.00319380890237322
6.016,-0.00319538760216074
6.0175,-0.00319696667498657
6.019,-0.00319854612081523
6.0205,-0.00320012593960735
6.022,-0.00320170613132746
6.0235,-0.0032032866959391
6.025,-0.00320486763340388
6.0265,-0.00320644894368439
6.028,-0.00320803062674417
6.0295,-0.0032096126825458
6.031,-0.00321119511104705
6.0325,-0.00321277791221723
6.034,-0.00321436108601412
6.0355,-0.00321594463239933
6.037,-0.00321752855133736
6.0385,-0.0032191128427908
6.04,-0.00322069750671934
6.0415,-0.00322228254308363
6.043,-0.00322386795184528
6.0445,-0.00322545373296784
6.046,-0.00322703988641389
6.0475,-0.00322862641214215
6.049,-0.00323021331011135
6.0505,-0.00323180058028986
6.052,-0.00323338822263157
6.0535,-0.00323497623710003
6.055,-0.00323656462365686
6.0565,-0.00323815338226174
6.058,-0.00323974251287436
6.0595,-0.00324133201546117
6.061,-0.00324292188997316
6.0625,-0.00324451213637388
6.064,-0.00324610275462882
6.0655,-0.00324769374469089
6.067,-0.00324928510652172
6.0685,-0.0032508768400839
6.07,-0.0032524689453371
6.0715,-0.00325406142223619
6.073,-0.00325565427074569
6.0745,-0.00325724749082335
6.076,-0.00325884108242885
6.0775,-0.00326043504551707
6.079,-0.00326202938005348
6.0805,-0.00326362408599679
6.082,-0.00326521916329899
6.0835,-0.00326681461192555
6.085,-0.00326841043183422
6.0865,-0.00327000662297987
6.088,-0.00327160318532315
6.0895,-0.00327320011882471
6.091,-0.00327479742343653
6.0925,-0.00327639509912311
6.094,-0.00327799314583836
6.0955,-0.00327959156354388
6.097,-0.00328119035219263
6.0985,-0.00328278951174813
6.1,-0.00328438904215948
6.1015,-0.00328598894339214
6.103,-0.00328758921540098
6.1045,-0.00328918985813989
6.106,-0.00329079087157051
6.1075,-0.00329239225564671
6.109,-0.00329399401032531
6.1105,-0.00329559613556695
6.112,-0.0032971986313236
6.1135,-0.00329880149755303
6.115,-0.00330040473421105
6.1165,-0.00330200834125832
6.118,-0.00330361231864392
6.1195,-0.00330521666632754
6.121,-0.00330682138426501
6.1225,-0.00330842647241118
6.124,-0.00331003193072286
6.1255,-0.00331163775915491
6.127,-0.00331324395766219
6.1285,-0.00331485052620053
6.13,-0.00331645746472481
6.1315,-0.00331806477318987
6.133,-0.00331967245155059
6.1345,-0.00332128049976279
6.136,-0.00332288891777941
6.1375,-0.00332449770555436
6.139,-0.00332610686304635
6.1405,-0.00332771639020349
6.142,-0.00332932628698548
6.1435,-0.00333093655334139
6.145,-0.00333254718922898
6.1465,-0.00333415819460119
6.148,-0.00333576956940805
6.1495,-0.00333738131360636
6.151,-0.00333899342715098
6.1525,-0.00334060590998907
6.154,-0.00334221876208031
6.1555,-0.00334383198337281
6.157,-0.00334544557382336
6.1585,-0.00334705953338298
6.16,-0.0033486738620017
6.1615,-0.0033502885596344
6.163,-0.00335190362623206
6.1645,-0.0033535190617486
6.166,-0.00335513486613599
6.1675,-0.0033567510393433
6.169,-0.00335836758132636
6.1705,-0.00335998449203328
6.172,-0.00336160177141315
6.1735,-0.00336321941942371
