"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
6.542,-0.00377149805101966
6.543,-0.00377263235961837
6.544,-0.00377376682584657
6.545,-0.00377490144975063
6.546,-0.00377603623138176
6.547,-0.00377717117078438
6.548,-0.0037783062680097
6.549,-0.00377944152309926
6.55,-0.00378057693610521
6.551,-0.00378171250707297
6.552,-0.00378284823605276
6.553,-0.00378398412308901
6.554,-0.00378512016822715
6.555,-0.00378625637152028
6.556,-0.00378739273301189
6.557,-0.00378852925275221
6.558,-0.00378966593078566
6.559,-0.00379080276716057
6.56,-0.00379193976192618
6.561,-0.00379307691512597
6.562,-0.00379421422681115
6.563,-0.00379535169702614
6.564,-0.00379648932582022
6.565,-0.00379762711323975
6.566,-0.00379876505933207
6.567,-0.00379990316414451
6.568,-0.00380104142772441
6.569,-0.00380217985012007
6.57,-0.00380331843137497
6.571,-0.00380445717153836
6.572,-0.00380559607065856
6.573,-0.00380673512878289
6.574,-0.00380787434595676
6.575,-0.00380901372222847
6.576,-0.00381015325764343
6.577,-0.0038112929522509
6.578,-0.00381243280609629
6.579,-0.00381357281922789
6.58,-0.00381471299169112
6.581,-0.00381585332353524
6.582,-0.00381699381480662
6.583,-0.00381813446555066
6.584,-0.00381927527581664
6.585,-0.00382041624565091
6.586,-0.00382155737509697
6.587,-0.003822698664206
6.588,-0.00382384011302533
6.589,-0.00382498172159845
6.59,-0.0038261234899727
6.591,-0.00382726541819733
6.592,-0.00382840750631968
6.593,-0.00382954975438131
6.594,-0.00383069216243629
6.595,-0.00383183473052618
6.596,-0.00383297745870121
6.597,-0.00383412034700486
6.598,-0.00383526339548348
6.599,-0.00383640660418926
6.6,-0.00383754997316373
6.601,-0.00383869350245615
6.602,-0.00383983719211194
6.603,-0.00384098104217747
6.604,-0.00384212505270201
6.605,-0.00384326922373095
6.606,-0.00384441355531067
6.607,-0.00384555804748562
6.608,-0.00384670270030602
6.609,-0.00384784751381632
6.61,-0.00384899248806482
6.611,-0.00385013762309596
6.612,-0.003851282918959
6.613,-0.0038524283756955
6.614,-0.0038535739933605
6.615,-0.00385471977199267
6.616,-0.00385586571164031
6.617,-0.0038570118123546
6.618,-0.00385815807417517
6.619,-0.00385930449715129
6.62,-0.00386045108133222
6.621,-0.00386159782676144
6.622,-0.00386274473348725
6.623,-0.00386389180155216
6.624,-0.00386503903100641
6.625,-0.00386618642189733
6.626,-0.00386733397426647
6.627,-0.00386848168816407
6.628,-0.00386962956363552
6.629,-0.00387077760072624
6.63,-0.00387192579948454
6.631,-0.00387307415995387
6.632,-0.00387422268218353
6.633,-0.00387537136621794
6.634,-0.00387652021210348
6.635,-0.00387766921988749
6.636,-0.00387881838961537
6.637,-0.00387996772133447
6.638,-0.00388111721508729
6.639,-0.003882266870926
6.64,-0.00388341668889118
6.641,-0.00388456666903306
6.642,-0.00388571681139803
6.643,-0.00388686711602568
6.644,-0.00388801758296916
6.645,-0.00388916821227194
6.646,-0.00389031900397943
6.647,-0.0038914699581409
6.648,-0.00389262107479789
6.649,-0.00389377235400064
6.65,-0.00389492379579262
6.651,-0.00389607540021925
6.652,-0.00389722716733172
6.653,-0.00389837909716869
6.654,-0.00389953118978135
6.655,-0.00390068344521222
6.656,-0.00390183586350864
6.657,-0.00390298844471987
6.658,-0.00390414118888842
6.659,-0.00390529409605972
6.66,-0.00390644716628012
6.661,-0.00390760039959698
6.662,-0.00390875379605472
6.663,-0.00390990735570166
6.664,-0.00391106107858128
6.665,-0.00391221496473897
6.666,-0.00391336901422113
6.667,-0.00391452322707315
6.668,-0.00391567760334238
6.669,-0.00391683214307518
6.67,-0.00391798684631601
6.671,-0.00391914171311027
6.672,-0.00392029674350337
6.673,-0.00392145193754168
6.674,-0.00392260729527158
6.675,-0.00392376281673944
6.676,-0.00392491850198875
6.677,-0.00392607435106684
6.678,-0.00392723036401718
6.679,-0.00392838654088713
6.68,-0.00392954288172208
6.681,-0.00393069938657035
6.682,-0.00393185605547155
6.683,-0.00393301288847592
6.684,-0.00393416988562982
6.685,-0.00393532704697578
6.686,-0.00393648437256018
6.687,-0.00393764186242744
6.688,-0.00393879951662589
6.689,-0.00393995733519803
6.69,-0.0039411153181941
6.691,-0.00394227346565275
6.692,-0.00394343177762712
6.693,-0.00394459025415488
6.694,-0.00394574889528725
6.695,-0.00394690770106674
6.696,-0.00394806667154165
6.697,-0.00394922580675642
6.698,-0.00395038510675358
6.699,-0.00395154457158046
6.7,-0.00395270420128343
6.701,-0.00395386399590695
6.702,-0.00395502395549642
6.703,-0.00395618408009629
6.704,-0.00395734436975389
6.705,-0.00395850482451175
6.706,-0.0039596654444172
6.707,-0.00396082622951565
6.708,-0.00396198717985252
6.709,-0.00396314829547128
6.71,-0.00396430957641927
6.711,-0.00396547102274095
6.712,-0.00396663263447978
6.713,-0.00396779441168601
6.714,-0.00396895635439926
6.715,-0.00397011846266589
6.716,-0.00397128073653519
6.717,-0.00397244317604484
6.718,-0.00397360578124798
6.719,-0.00397476855218229
6.72,-0.00397593148889897
6.721,-0.00397709459143958
6.722,-0.00397825785985242
6.723,-0.00397942129418194
6.724,-0.00398058489446969
6.725,-0.003981748660763
6.726,-0.00398291259310826
6.727,-0.00398407669154702
6.728,-0.00398524095612662
6.729,-0.00398640538689439
6.73,-0.003987569983889
6.731,-0.00398873474716357
6.732,-0.00398989967675484
6.733,-0.00399106477271399
6.734,-0.00399223003508163
6.735,-0.00399339546390702
6.736,-0.00399456105922978
6.737,-0.00399572682109918
6.738,-0.0039968927495616
6.739,-0.00399805884465377
6.74,-0.00399922510643075
6.741,-0.00400039153492926
6.742,-0.00400155813019858
6.743,-0.00400272489228218
6.744,-0.00400389182122549
6.745,-0.00400505891707293
6.746,-0.00400622617986897
6.747,-0.00400739360965709
6.748,-0.00400856120648559
6.749,-0.00400972897039698
6.75,-0.00401089690143475
6.751,-0.00401206499964721
6.752,-0.00401323326507784
6.753,-0.00401440169776722
6.754,-0.00401557029776463
6.755,-0.00401673906511548
6.756,-0.00401790799985939
6.757,-0.00401907710204371
6.758,-0.0040202463717177
6.759,-0.00402141580891905
6.76,-0.00402258541369609
6.761,-0.00402375518609131
6.762,-0.00402492512615014
6.763,-0.00402609523391799
6.764,-0.0040272655094393
6.765,-0.00402843595275852
6.766,-0.00402960656391817
6.767,-0.00403077734296656
6.768,-0.00403194828994524
6.769,-0.00403311940490155
6.77,-0.00403429068787511
6.771,-0.00403546213891327
6.772,-0.0040366337580624
6.773,-0.00403780554536696
6.774,-0.0040389775008656
6.775,-0.00404014962460855
6.776,-0.00404132191664027
6.777,-0.00404249437700134
6.778,-0.00404366700573718
6.779,-0.00404483980289513
6.78,-0.00404601276851674
6.781,-0.00404718590264935
6.782,-0.00404835920533549
6.783,-0.00404953267661574
6.784,-0.00405070631653841
6.785,-0.00405188012514988
6.786,-0.00405305410249169
6.787,-0.00405422824860541
6.788,-0.00405540256354031
6.789,-0.00405657704733794
6.79,-0.00405775170004757
6.791,-0.00405892652170496
6.792,-0.00406010151235844
6.793,-0.0040612766720534
6.794,-0.00406245200083429
6.795,-0.00406362749874268
6.796,-0.00406480316582398
6.797,-0.00406597900212069
6.798,-0.00406715500768211
6.799,-0.00406833118254687
6.8,-0.00406950752676137
6.801,-0.00407068404037102
6.802,-0.00407186072341834
6.803,-0.00407303757594777
6.804,-0.00407421459800279
6.805,-0.00407539178962787
6.806,-0.00407656915086841
6.807,-0.00407774668176596
6.808,-0.00407892438236594
6.809,-0.0040801022527128
6.81,-0.00408128029284906
6.811,-0.00408245850282206
6.812,-0.00408363688267432
6.813,-0.0040848154324445
6.814,-0.00408599415218477
6.815,-0.00408717304193571
6.816,-0.00408835210173889
6.817,-0.00408953133164068
6.818,-0.00409071073168553
6.819,-0.00409189030191597
6.82,-0.00409307004237739
6.821,-0.00409424995311137
6.822,-0.00409543003416331
6.823,-0.00409661028557863
6.824,-0.00409779070739888
6.825,-0.00409897129966852
6.826,-0.00410015206243102
6.827,-0.00410133299573084
6.828,-0.00410251409961242
6.829,-0.00410369537411733
6.83,-0.00410487681929097
6.831,-0.00410605843517587
6.832,-0.00410724022181936
6.833,-0.00410842217926205
6.834,-0.00410960430754742
6.835,-0.00411078660672183
6.836,-0.0041119690768259
6.837,-0.00411315171790599
6.838,-0.00411433453000269
6.839,-0.0041155175131624
6.84,-0.00411670066742858
6.841,-0.00411788399284376
6.842,-0.00411906748945239
6.843,-0.00412025115729893
6.844,-0.00412143499642492
6.845,-0.00412261900687385
6.846,-0.00412380318869211
6.847,-0.00412498754191931
6.848,-0.00412617206660474
6.849,-0.00412735676278512
6.85,-0.00412854163050973
6.851,-0.00412972666982108
6.852,-0.00413091188075882
6.853,-0.00413209726337124
6.854,-0.00413328281769893
6.855,-0.00413446854378828
6.856,-0.00413565444167796
6.857,-0.00413684051141625
6.858,-0.00413802675304377
6.859,-0.00413921316660593
6.86,-0.00414039975214331
6.861,-0.00414158650970519
6.862,-0.0041427734393283
6.863,-0.00414396054105903
6.864,-0.00414514781493989
6.865,-0.00414633526101727
6.866,-0.00414752287932886
6.867,-0.00414871066992491
6.868,-0.00414989863284407
6.869,-0.00415108676813079
6.87,-0.00415227507582953
6.871,-0.00415346355598184
6.872,-0.00415465220863315
6.873,-0.00415584103382307
6.874,-0.00415703003159895
6.875,-0.00415821920200138
6.876,-0.00415940854507578
6.877,-0.00416059806086468
6.878,-0.00416178774940962
6.879,-0.00416297761075796
6.88,-0.00416416764494642
6.881,-0.00416535785202525
6.882,-0.00416654823203408
6.883,-0.00416773878501542
6.884,-0.00416892951101566
6.885,-0.00417012041007538
6.886,-0.00417131148223809
6.887,-0.00417250272754533
6.888,-0.00417369414604155
6.889,-0.0041748857377741
6.89,-0.00417607750278069
6.891,-0.00417726944110478
6.892,-0.00417846155279278
6.893,-0.00417965383788527
6.894,-0.0041808462964267
6.895,-0.00418203892845766
6.896,-0.00418323173402358
6.897,-0.00418442471316889
6.898,-0.00418561786593228
6.899,-0.00418681119236107
6.9,-0.00418800469249395
6.901,-0.00418919836637728
6.902,-0.00419039221405359
6.903,-0.00419158623556637
6.904,-0.00419278043095717
6.905,-0.00419397480026755
6.906,-0.00419516934354294
6.907,-0.00419636406082585
6.908,-0.0041975589521617
6.909,-0.00419875401758818
6.91,-0.00419994925715169
6.911,-0.00420114467089378
6.912,-0.00420234025885696
6.913,-0.00420353602108763
6.914,-0.00420473195762445
6.915,-0.0042059280685109
6.916,-0.00420712435379241
6.917,-0.00420832081350956
6.918,-0.00420951744770584
6.919,-0.00421071425642378
6.92,-0.00421191123970686
6.921,-0.00421310839759955
6.922,-0.00421430573013856
6.923,-0.00421550323737318
6.924,-0.00421670091934207
6.925,-0.00421789877609355
6.926,-0.00421909680766435
6.927,-0.00422029501409698
6.928,-0.00422149339543785
6.929,-0.00422269195172946
6.93,-0.00422389068301338
6.931,-0.00422508958933116
6.932,-0.0042262886707263
6.933,-0.00422748792724325
6.934,-0.00422868735892259
6.935,-0.00422988696580879
6.936,-0.00423108674794148
6.937,-0.00423228670536896
6.938,-0.004233486838127
6.939,-0.00423468714626103
6.94,-0.0042358876298155
6.941,-0.004237088288831
6.942,-0.00423828912334909
6.943,-0.00423949013341808
6.944,-0.00424069131907086
6.945,-0.00424189268035862
6.946,-0.0042430942173181
6.947,-0.00424429592999762
6.948,-0.00424549781843583
6.949,-0.00424669988267527
6.95,-0.00424790212275846
6.951,-0.00424910453872985
6.952,-0.004250307130631
6.953,-0.00425150989850154
6.954,-0.00425271284238882
6.955,-0.00425391596233247
6.956,-0.00425511925837501
6.957,-0.00425632273055801
6.958,-0.00425752637892688
6.959,-0.00425873020352125
6.96,-0.00425993420438461
6.961,-0.00426113838155948
6.962,-0.00426234273508936
6.963,-0.00426354726501581
6.964,-0.00426475197137652
6.965,-0.00426595685422174
6.966,-0.00426716191358916
6.967,-0.00426836714952132
6.968,-0.00426957256206267
6.969,-0.00427077815125477
6.97,-0.00427198391713821
6.971,-0.00427318985975648
6.972,-0.00427439597915115
